"old.code","new.code","type.org","broad.category","major.group","univ","hosp","two.digit","further.category","division.subdivision","broad.category.description","major.group.description","code.name","division.subdivision.description","keywords","further.category.desciption"
"D32","RG-ENV-D32","RG","ENV","D",FALSE,FALSE,"32","","32","Environment and Animals","Animal-Related","Bird Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild birds by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.","Bird Preservation, Bird Preserves, Bird Sanctuaries, Raptor Sanctuaries, Waterfowl Sanctuaries"," "
"D33","RG-ENV-D33","RG","ENV","D",FALSE,FALSE,"33","","33","Environment and Animals","Animal-Related","Fisheries Resources","Organizations that provide for the conservation, protection and management of different species of fish by establishing coastal, lake, reservoir or other inland fisheries where different species of fish are hatched in protected environments and used to stock public waters that have been depleted.","Fish Hatcheries, Fisheries Conservation, Fisheries Management, Fishery Conservation, Fishery Management, Herring Fishery Management, Salmon Fishery Management, Salmon Spawning, Sea Lamprey Management, Shellfish Fishery Management, Sustainable Fishery Management, Trout Fishery Management, Trout Spawning"," "
"D34","RG-ENV-D34","RG","ENV","D",FALSE,FALSE,"34","","34","Environment and Animals","Animal-Related","Wildlife Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild animals by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.","Wild Animal Refuges, Wild Animal Reserves, Wild Animal Sanctuaries, Wildlife Refuges, Wildlife Reserves, Wildlife Sanctuaries, Wildlife Shelters"," "
"D40","RG-ENV-D40","RG","ENV","D",FALSE,FALSE,"40","","40","Environment and Animals","Animal-Related","Veterinary Services","Organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems.","Animal Euthanasia, Animal Hospitals, Pet Hospitals, Rabies"," "
"D50","RG-ENV-D50","RG","ENV","D",FALSE,FALSE,"50","","50","Environment and Animals","Animal-Related","Zoos & Aquariums","Organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing.","Animal Parks, Aquariums, Petting Farms, Petting Zoos, Wild Animal Parks, Zoological Parks, Zoological Societies, Zoos"," "
"D60","RG-ENV-D60","RG","ENV","D",FALSE,FALSE,"60","","60","Environment and Animals","Animal-Related","Animal Services N.E.C.","Organizations that offer services which help individuals develop an understanding of the animal species in which they have an interest and/or to work more effectively with their pets.","AKC, American Kennel Clubs, Animal Breeding, Animal Clubs, Animal Companions, Animal Exhibitions, Animal Ownership, Animal Shows, Cat Clubs, Cat Shows, Dog Clubs, Dog Shows, Ferret Clubs, Horse Clubs, Horse Shows, Off Leash Dog Parks, Off Leash Dog Recreation Areas, Off-Leash Dog Parks, Off-Leash Dog Recreation Areas, Pet Ownership, Tropical Fish Clubs"," "
"D61","RG-ENV-D61","RG","ENV","D",FALSE,FALSE,"61","","61","Environment and Animals","Animal-Related","Animal Training","Organizations that provide classes for people who want to develop a basic understanding and control of their pets [These are typically section 501(c)(7) exempt organizations].","Animal Behavior Schools, Animal Obedience Training, Animal Training, Dog Obedience Training, Dog Training, Housebreaking"," "
"D99","RG-ENV-D99","RG","ENV","D",FALSE,FALSE,"99","","99","Environment and Animals","Animal-Related","Animal-Related  N.E.C.","Use this code for organizations that clearly provide animal-related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",""," "
"E01","AA-HEL-E00","AA","HEL","E",FALSE,FALSE,"01","","00","Health, Non-Hospital","Health Care, Non-Hospital","Alliances & Advocacy","Alliance/Advocacy Organizations","Health Care Alliances, Health Care Reform, Health Care Coalitions, Lobbying, Public Awareness"," "
"E0121","AA-HEL-E21","AA","HEL","E",FALSE,FALSE,"01","21","21","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Alliance/Advocacy Organizations",NA,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E0122","AA-HEL-E22","AA","HEL","E",FALSE,FALSE,"01","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Alliance/Advocacy Organizations",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E0131","AA-HEL-E31","AA","HEL","E",FALSE,FALSE,"01","31","31","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Alliance/Advocacy Organizations",NA,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
"E0132","AA-HEL-E32","AA","HEL","E",FALSE,FALSE,"01","32","32","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Alliance/Advocacy Organizations",NA,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
"E0170","AA-HEL-E70","AA","HEL","E",FALSE,FALSE,"01","70","70","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Alliance/Advocacy Organizations",NA,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E02","MT-HEL-E00","MT","HEL","E",FALSE,FALSE,"02","","00","Health, Non-Hospital","Health Care, Non-Hospital","Management & Technical Assistance","Management and Technical Assistance","Health Administration, Health Management and Technical Assistance, Professional Continuing Education, Peer Review, Quality Assurance"," "
"E0220","MT-HEL-E20","MT","HEL","E",FALSE,FALSE,"02","20","20","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E0221","MT-HEL-E21","MT","HEL","E",FALSE,FALSE,"02","21","21","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E0222","MT-HEL-E22","MT","HEL","E",FALSE,FALSE,"02","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E0262","MT-HEL-E62","MT","HEL","E",FALSE,FALSE,"02","62","62","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.
"
"E0290","MT-HEL-E90","MT","HEL","E",FALSE,FALSE,"02","90","90","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below."
"E0292","MT-HEL-E92","MT","HEL","E",FALSE,FALSE,"02","92","92","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Management and Technical Assistance",NA,"Providing support to visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized."
"E03","PA-HEL-E00","PA","HEL","E",FALSE,FALSE,"03","","00","Health, Non-Hospital","Health Care, Non-Hospital","Professional Societies & Associations","Professional Societies/Associations","American Medical Association, American Hospital Association, Health Associations, Health Professional Societies, National League for Nursing, Nurses Bureau, Nurses Register"," "
"E0321","PA-HEL-E21","PA","HEL","E",FALSE,FALSE,"03","21","21","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E0322","PA-HEL-E22","PA","HEL","E",FALSE,FALSE,"03","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E0365","PA-HEL-E65","PA","HEL","E",FALSE,FALSE,"03","65","65","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations."
"E0380","PA-HEL-E80","PA","HEL","E",FALSE,FALSE,"03","80","80","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general."
"E0390","PA-HEL-E90","PA","HEL","E",FALSE,FALSE,"03","90","90","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below."
"E0392","PA-HEL-E92","PA","HEL","E",FALSE,FALSE,"03","92","92","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Professional Societies/Associations",NA,"Providing support to visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized."
"E05","RP-HEL-E00","RP","HEL","E",FALSE,FALSE,"05","","00","Health, Non-Hospital","Health Care, Non-Hospital","Research Institutes & Public Policy Analysis","Research Institutes and/or Public Policy Analysis","Health Care Public Policy, Health Care Research, Health Policy Research and Analysis"," "
"E0520","RP-HEL-E20","RP","HEL","E",FALSE,FALSE,"05","20","20","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E0522","RP-HEL-E22","RP","HEL","E",FALSE,FALSE,"05","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E0531","RP-HEL-E31","RP","HEL","E",FALSE,FALSE,"05","31","31","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
"E0532","RP-HEL-E32","RP","HEL","E",FALSE,FALSE,"05","32","32","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
"E0570","RP-HEL-E70","RP","HEL","E",FALSE,FALSE,"05","70","70","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E11","MS-HEL-E00","MS","HEL","E",FALSE,FALSE,"11","","00","Health, Non-Hospital","Health Care, Non-Hospital","Single Organization Support","Monetary Support - Single Organization","Hospital Auxiliaries, Hospital Foundations"," "
"E1120","MS-HEL-E20","MS","HEL","E",FALSE,FALSE,"11","20","20","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E1121","MS-HEL-E21","MS","HEL","E",FALSE,FALSE,"11","21","21","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E1122","MS-HEL-E22","MS","HEL","E",FALSE,FALSE,"11","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E1131","MS-HEL-E31","MS","HEL","E",FALSE,FALSE,"11","31","31","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
"E1132","MS-HEL-E32","MS","HEL","E",FALSE,FALSE,"11","32","32","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
"E1150","MS-HEL-E50","MS","HEL","E",FALSE,FALSE,"11","50","50","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society."
"E1170","MS-HEL-E70","MS","HEL","E",FALSE,FALSE,"11","70","70","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E1180","MS-HEL-E80","MS","HEL","E",FALSE,FALSE,"11","80","80","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general."
"E1186","MS-HEL-E86","MS","HEL","E",FALSE,FALSE,"11","86","86","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)"
"E1190","MS-HEL-E90","MS","HEL","E",FALSE,FALSE,"11","90","90","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below."
"E1191","MS-HEL-E91","MS","HEL","E",FALSE,FALSE,"11","91","91","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Single Organization",NA,"Providing support to inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness."
"E12","MM-HEL-E00","MM","HEL","E",FALSE,FALSE,"12","","00","Health, Non-Hospital","Health Care, Non-Hospital","Fund Raising & Fund Distribution","Monetary Support - Multiple Organizations","Community or Regional Health Foundations"," "
"E1220","MM-HEL-E20","MM","HEL","E",FALSE,FALSE,"12","20","20","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E1222","MM-HEL-E22","MM","HEL","E",FALSE,FALSE,"12","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E1232","MM-HEL-E32","MM","HEL","E",FALSE,FALSE,"12","32","32","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
"E1270","MM-HEL-E70","MM","HEL","E",FALSE,FALSE,"12","70","70","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E1286","MM-HEL-E86","MM","HEL","E",FALSE,FALSE,"12","86","86","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)"
"E1290","MM-HEL-E90","MM","HEL","E",FALSE,FALSE,"12","90","90","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below."
"E1291","MM-HEL-E91","MM","HEL","E",FALSE,FALSE,"12","91","91","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness."
"E19","NS-HEL-E00","NS","HEL","E",FALSE,FALSE,"19","","00","Health, Non-Hospital","Health Care, Non-Hospital","Support N.E.C.","Nonmonetary Support Not Elsewhere Classified (N.E.C.)","501(e) Cooperative Hospital Service Organizations"," "
"E1920","NS-HEL-E20","NS","HEL","E",FALSE,FALSE,"19","20","20","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E1921","NS-HEL-E21","NS","HEL","E",FALSE,FALSE,"19","21","21","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E1922","NS-HEL-E22","NS","HEL","E",FALSE,FALSE,"19","22","22","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E1931","NS-HEL-E31","NS","HEL","E",FALSE,FALSE,"19","31","31","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
"E1970","NS-HEL-E70","NS","HEL","E",FALSE,FALSE,"19","70","70","Health, Non-Hospital","Health Care, Non-Hospital",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E20","RG-HOS-E20","RG","HOS","E",FALSE,TRUE,"20","","20","Hosptial","Health Care, Non-Hospital","Hospitals","Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.",""," "
"E21","RG-HOS-E21","RG","HOS","E",FALSE,TRUE,"21","","21","Hosptial","Health Care, Non-Hospital","Community Health Systems","Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)","Community-Based Health Services, Health Care Systems, Hospital Management Corporations, Multihospital Health Care Systems, Multihospital Systems"," "
"E22","RG-HOS-E22","RG","HOS","E",FALSE,TRUE,"22","","22","Hosptial","Health Care, Non-Hospital","General Hospitals","Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.","Acute Care Critical Access Hospitals, Acute Care Hospitals, Acute Care Medical Faciltities, Acute Care Medical Centers, Cardiac Intensive Care, Coronary Intensive Care, Emergency Rooms, Emergicenters, General Acute Care Hospitals, General Hospitals, General Intensive Care, High Risk Infant Unit Care, Hospital Emergency Care, Hospital-Based Emergency Care, ICUs, Inpatient Hospital Care, Intensive Care, Medical Centers, Military Hospitals, Neonatal Intensive Care, Neurological Intensive Care, Osteopathic hospitals, Pediatric Intensive Care, Premature Nurseries, Respiratory Intensive Care, State Hospitals, Subacute Care Hospitals, Surgical Intensive Care, Trauma Centers, Veterans Hospitals"," "
"E24","RG-HOS-E24","RG","HOS","E",FALSE,TRUE,"24","","24","Hosptial","Health Care, Non-Hospital","Specialty Hospitals","Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.","Cancer Hospitals, Childrens Hospitals, Extended Care Hospitals, Eye Hospitals, Maternity Hospitals, Orthopedic Hospitals, Rehabilitation Hospitals, Shriners Hospitals, Specialty Hospitals, Womens Hospitals"," "
"E30","RG-HEL-E30","RG","HEL","E",FALSE,FALSE,"30","","30","Health, Non-Hospital","Health Care, Non-Hospital","Ambulatory & Primary Health Care","Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. Use this code for types of outpatient facilities or services not specified below.","Acupuncture, Alternative Health Clinics, Ambulatory Surgical Centers, Ambulatory Surgery, Biofeedback, Burn Centers, Burn Institutes, Chiropractic, Day Surgery, Dental Clinics, Dental Care, Diagnostic Facilities, Diagnostic Imaging, Dialysis Centers, Eye Screening Clinics, Foot Clinics, Herbal Medicine, Homeopathic Medicine, Hospital-Based Outpatient Care, Infant Care Clinics, Infant Centers, Medical Testing Laboratories, Mobile Dental Care, Naturopathic Medicine, Neonatal Care Clinics, Neonatal Centers, Optometry Clinics, Outpatient Care, Outpatient Surgery, Pain Management, Podiatry, Rural Health Care, Rural Medical Service, Traditional Healing Arts, Well Baby Care, Well Baby Clinics, Well-Baby Care, Well-Baby Clinics"," "
"E31","RG-HEL-E31","RG","HEL","E",FALSE,FALSE,"31","","31","Health, Non-Hospital","Health Care, Non-Hospital","Group Health Practices","Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.","Group Health Practices, Health Maintenance Organizations, HMOs, Managed Care, Managed Health Care, Primary Health Care Providers"," "
"E32","RG-HEL-E32","RG","HEL","E",FALSE,FALSE,"32","","32","Health, Non-Hospital","Health Care, Non-Hospital","Community Clinics","Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.","Ambulatory Health Centers, Clinics, Community Clinics, Community Health Centers, Community Health Clinics, Free Clinics, Health Centers, Health Clinics, Mobile Health Care, Walk-in Clinics"," "
"E40","RG-HEL-E40","RG","HEL","E",FALSE,FALSE,"40","","40","Health, Non-Hospital","Health Care, Non-Hospital","Reproductive Health Care","Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. Use this code for organizations other than family planning centers that offer reproductive health services.","Abortion Clinics, Alternative Birthing Services, Birth Education, Birth Orientation, Birthing Centers, Childbirth Preparation Centers, Delivery/Childbirth Services, Early Pregnancy Classes, Fertility Treatment Centers, Genetic Counseling, Human Sexuality Counseling, Human Sexuality Education, Infertility Treatment, Lamaze, Maternal and Infant Care, Maternity Care, Midwifery, Natural Childbirth Education, Neonatal Care, Newborn Infant Care, Obstetrics and Gynecology Clinics, Post Abortion Care, Postpartum Care, Pregnancy Termination Clinics, Prenatal Care Centers, Prenatal Counseling, Pro-Choice Counseling, Pro-Life Counseling, Right to Life Counseling, Safe Sex, Sex Education, Voluntary Sterilization Centers, Sterilization, Womens Health Centers"," "
"E42","RG-HEL-E42","RG","HEL","E",FALSE,FALSE,"42","","42","Health, Non-Hospital","Health Care, Non-Hospital","Family Planning","Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. Use this code for Planned Parenthood organizations.","Birth Control, Birth Spacing, Contraception, Contraceptives, Family Planning, Natural Family Planning, Planned Parenthood, Pregnancy Prevention"," "
"E50","RG-HEL-E50","RG","HEL","E",FALSE,FALSE,"50","","50","Health, Non-Hospital","Health Care, Non-Hospital","Rehabilitative Care","Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society.","Art Therapy, Audiological evaluations, Auditory Training, Corrective Therapy, Cued Speech Instruction, Easter Seal Societies, Equestrian Therapy, Equine-facilitated Therapy, Equine Therapy, Dance Therapy, Easter Seal Society, Finger Spelling Instruction, Hippo Therapy, Horse Therapy, Hydrotherapy, Kinesiology, Language Therapy, Music Therapy, Occupational Therapy, Oral Communication Instruction, Pediatric Occupational Therapy, Physical Therapy, Sign Language Instruction, Speech and Hearing Centers, Speech and Language Evaluations, Speech Therapy, Therapeutic Horseback Riding, Therapeutic Horsemanship, Therapeutic Riding, Total Communication Instruction, Water Therapy"," "
"E60","RG-HEL-E60","RG","HEL","E",FALSE,FALSE,"60","","60","Health, Non-Hospital","Health Care, Non-Hospital","Health Support","Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. Use this code for organizations that provide a wide range of health support services or which offer services not specified below.","Cooperative Hospital Services, Pharmaceutical Services, Pharmacies, Pharmacology, Shock, Trauma Programs"," "
"E61","RG-HEL-E61","RG","HEL","E",FALSE,FALSE,"61","","61","Health, Non-Hospital","Health Care, Non-Hospital","Blood Banks","Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible.","Blood Banks, Blood Donations, Blood Donor Stations, Blood Drives, Blood Supply, Plasma Supply, Whole Blood Substitute"," "
